Household,avg_income_usd,country,rural_urban,remesa_amount_usd,monthly_remesa_amount,Food,Health,COVID_19,Education,Utilities,ClothesandShoes,Housing,HousingRental,HomePurchase,AgriculturalInputs,BusinessVentures,Saving,MigantsComittments,MigrationLoanDebt,OtherDebts,Other,Tsum_check
322,700.0,SLV,1,200.0,200.0,50.0,30.0,,,,20.0,,,,,,,,,,,100.0
323,400.0,SLV,1,250.0,250.0,60.0,,,20.0,20.0,,,,,,,,,,,,100.0
324,200.0,SLV,1,200.0,400.0,60.0,,,,40.0,,,,,,,,,,,,100.0
325,200.0,SLV,1,200.0,200.0,100.0,,,,,,,,,,,,,,,,100.0
326,39.975,HND,2,75.0,150.0,100.0,,,,,,,,,,,,,,,,100.0
327,53.300000000000004,HND,1,250.0,83.33333333333333,70.0,30.0,,,,,,,,,,,,,,,100.0
328,115.0,SLV,2,50.0,215.0,70.0,,,20.0,10.0,,,,,,,,,,,,100.0
329,50.0,SLV,1,200.0,33.333333333333336,20.0,60.0,,,20.0,,,,,,,,,,,,100.0
330,63.0,SLV,1,50.0,25.0,30.0,,,,70.0,,,,,,,,,,,,100.0
331,15.99,HND,1,3.731,0.6218333333333333,100.0,,,,,,,,,,,,,,,,100.0
332,31.98,HND,1,15.99,7.995,50.0,25.0,,25.0,,,,,,,,,,,,,100.0
333,15.99,GT,2,50.0,25.0,50.0,,,,,,,,,,,,,,,50.0,100.0
334,7.462000000000001,GT,1,3.9975,1.99875,50.0,50.0,,,,,,,,,,,,,,,100.0
335,53.300000000000004,GT,2,3.98151,1.32717,50.0,,,,,50.0,,,,,,,,,,,100.0
336,1000.0,GT,1,500.0,250.0,25.0,,,,25.0,,50.0,,,,,,,,,,100.0
337,10.66,GT,1,7.462000000000001,7.462000000000001,50.0,,,,25.0,,25.0,,,,,,,,,,100.0
338,1.99875,GT,1,1.9880900000000001,1.9880900000000001,100.0,,,,,,,,,,,,,,,,100.0
339,21.32,GT,2,10.66,21.32,50.0,,,25.0,25.0,,,,,,,,,,,,100.0
340,8.528,GT,2,7.995,3.9975,30.0,70.0,,,,,,,,,,,,,,,100.0
341,15.99,GT,2,10.66,3.5533333333333332,50.0,30.0,,,20.0,,,,,,,,,,,,100.0
342,15.99,GT,2,18.655,18.655,50.0,,,,30.0,20.0,,,,,,,,,,,100.0
343,26.650000000000002,GT,2,200.0,200.0,50.0,,,,25.0,25.0,,,,,,,,,,,100.0
344,10.66,HND,1,6.396000000000001,6.396000000000001,100.0,,,,,,,,,,,,,,,,100.0
345,10.66,GT,1,7.995,2.665,80.0,,,,20.0,,,,,,,,,,,,100.0
346,10.66,GT,1,7.462000000000001,2.4873333333333334,,100.0,,,,,,,,,,,,,,,100.0
347,7.462000000000001,GT,1,7.462000000000001,3.7310000000000003,50.0,50.0,,,,,,,,,,,,,,,100.0
348,10.66,GT,1,7.995,7.995,25.0,,,,75.0,,,,,,,,,,,,100.0
349,4.264,GT,1,4.1041,2.05205,10.0,70.0,,,20.0,,,,,,,,,,,,100.0
